seed,condition,global_step,exact_match
248,jlens,0,0.3825
248,jlens,2,0.4025
248,jlens,4,0.415
248,jlens,6,0.39
248,jlens,8,0.3975
248,jlens,10,0.4025
248,signflip,0,0.3825
248,signflip,2,0.4125
248,signflip,4,0.3975
248,signflip,6,0.385
248,signflip,8,0.385
248,signflip,10,0.39
249,jlens,0,0.3825
249,jlens,2,0.395
249,jlens,4,0.3925
249,jlens,6,0.3925
249,jlens,8,0.3975
249,jlens,10,0.3975
249,signflip,0,0.3825
249,signflip,2,0.405
249,signflip,4,0.3825
249,signflip,6,0.3825
249,signflip,8,0.405
249,signflip,10,0.4
250,jlens,0,0.3825
250,jlens,2,0.41
250,jlens,4,0.4
250,jlens,6,0.3925
250,jlens,8,0.4075
250,jlens,10,0.3775
250,signflip,0,0.3825
250,signflip,2,0.4025
250,signflip,4,0.405
250,signflip,6,0.3825
250,signflip,8,0.39
250,signflip,10,0.38
251,jlens,0,0.3825
251,jlens,2,0.3875
251,jlens,4,0.39
251,jlens,6,0.395
251,jlens,8,0.39
251,jlens,10,0.3825
251,signflip,0,0.3825
251,signflip,2,0.395
251,signflip,4,0.4
251,signflip,6,0.415
251,signflip,8,0.42
251,signflip,10,0.385
252,jlens,0,0.3825
252,jlens,2,0.395
252,jlens,4,0.385
252,jlens,6,0.4
252,jlens,8,0.4025
252,jlens,10,0.385
252,signflip,0,0.3825
252,signflip,2,0.395
252,signflip,4,0.3925
252,signflip,6,0.385
252,signflip,8,0.41
252,signflip,10,0.385
253,jlens,0,0.3825
253,jlens,2,0.3925
253,jlens,4,0.3825
253,jlens,6,0.3725
253,jlens,8,0.4025
253,jlens,10,0.39
253,signflip,0,0.3825
253,signflip,2,0.385
253,signflip,4,0.375
253,signflip,6,0.38
253,signflip,8,0.4025
253,signflip,10,0.3675
254,jlens,0,0.3825
254,jlens,2,0.405
254,jlens,4,0.3925
254,jlens,6,0.41
254,jlens,8,0.39
254,jlens,10,0.39
254,signflip,0,0.3825
254,signflip,2,0.415
254,signflip,4,0.4
254,signflip,6,0.395
254,signflip,8,0.4075
254,signflip,10,0.405
255,jlens,0,0.3825
255,jlens,2,0.3975
255,jlens,4,0.39
255,jlens,6,0.3875
255,jlens,8,0.3825
255,jlens,10,0.385
255,signflip,0,0.3825
255,signflip,2,0.4025
255,signflip,4,0.39
255,signflip,6,0.405
255,signflip,8,0.3875
255,signflip,10,0.4
257,jlens,0,0.3825
257,jlens,2,0.375
257,jlens,4,0.3825
257,jlens,6,0.38
257,jlens,8,0.395
257,jlens,10,0.4025
257,signflip,0,0.3825
257,signflip,2,0.4025
257,signflip,4,0.3925
257,signflip,6,0.3825
257,signflip,8,0.3925
257,signflip,10,0.395
258,jlens,0,0.3825
258,jlens,2,0.4
258,jlens,4,0.4
258,jlens,6,0.3775
258,jlens,8,0.39
258,jlens,10,0.3925
258,signflip,0,0.3825
258,signflip,2,0.3875
258,signflip,4,0.3925
258,signflip,6,0.3975
258,signflip,8,0.3625
258,signflip,10,0.3875
259,jlens,0,0.3825
259,jlens,2,0.39
259,jlens,4,0.4075
259,jlens,6,0.3975
259,jlens,8,0.39
259,jlens,10,0.3725
259,signflip,0,0.3825
259,signflip,2,0.4125
259,signflip,4,0.4
259,signflip,6,0.375
259,signflip,8,0.385
259,signflip,10,0.4025
260,jlens,0,0.3825
260,jlens,2,0.3925
260,jlens,4,0.3875
260,jlens,6,0.3925
260,jlens,8,0.4
260,jlens,10,0.4
260,signflip,0,0.3825
260,signflip,2,0.3975
260,signflip,4,0.3975
260,signflip,6,0.405
260,signflip,8,0.375
260,signflip,10,0.4075
261,jlens,0,0.3825
261,jlens,2,0.3825
261,jlens,4,0.3875
261,jlens,6,0.3775
261,jlens,8,0.3825
261,jlens,10,0.3975
261,signflip,0,0.3825
261,signflip,2,0.3925
261,signflip,4,0.3925
261,signflip,6,0.3875
261,signflip,8,0.39
261,signflip,10,0.3875
262,jlens,0,0.3825
262,jlens,2,0.39
262,jlens,4,0.3925
262,jlens,6,0.385
262,jlens,8,0.3975
262,jlens,10,0.39
262,signflip,0,0.3825
262,signflip,2,0.385
262,signflip,4,0.415
262,signflip,6,0.3975
262,signflip,8,0.3875
262,signflip,10,0.385
263,jlens,0,0.3825
263,jlens,2,0.395
263,jlens,4,0.39
263,jlens,6,0.3925
263,jlens,8,0.4025
263,jlens,10,0.4
263,signflip,0,0.3825
263,signflip,2,0.3925
263,signflip,4,0.4
263,signflip,6,0.3875
263,signflip,8,0.405
263,signflip,10,0.3825
264,jlens,0,0.3825
264,jlens,2,0.4025
264,jlens,4,0.4025
264,jlens,6,0.3925
264,jlens,8,0.38
264,jlens,10,0.4
264,signflip,0,0.3825
264,signflip,2,0.41
264,signflip,4,0.385
264,signflip,6,0.39
264,signflip,8,0.4
264,signflip,10,0.395
